	Expr_in_Blood	Heart_1	Liver_1	Lung_1	Brain_1	Kidney_1	Heart_2	Liver_2	Lung_2	Brain_2	Kidney_2	Heart_3	Liver_3	Lung_3	Brain_3	Kidney_3
Gene_383	Y	1.380897386	3.603813625	2.233702388	0.360976863	-1.794338101	-2.319863993	4.020503447	0.86927198	-3.937002536	-2.67870694	1.820409615	4.829907644	4.209649294	0.895249501	-3.832534033
Gene_603	Y	3.278105856	3.004236961	3.184846779	3.658150195	-2.702582574	1.075561905	3.915874776	1.325974475	-0.933743121	-2.004413129	2.167525603	3.842230426	-1.622081912	3.917319493	-3.912741978
Gene_3541	Y	1.930425193	4.618945348	-3.000772813	-2.369753274	-2.012251407	-2.023279037	4.015083323	-1.212177949	0.391146284	-3.352937792	-3.473340941	1.645676693	1.647925409	4.47642578	-2.196064989
Gene_6047	Y	2.928319075	1.627092406	4.53195443	2.947942443	-4.902758173	-0.974304465	2.824806194	1.22786417	-0.482368288	-3.716863968	-1.207899737	2.851587841	1.567250191	-0.445406877	-2.723588987
Gene_7425	Y	0.117430529	2.105146347	-0.860458257	4.001563486	-1.765360679	0.35706464	4.378095123	-4.176962722	0.730798499	-4.673081202	1.43224649	3.916779187	-0.577212448	4.184683588	-4.050897862
Gene_8131	Y	1.52059635	3.590558431	1.557082651	-1.375961106	-4.817248972	0.272239902	3.132208846	3.635154825	-3.505709211	-3.556850241	-1.3134196	4.960008372	1.047575439	0.202800238	-2.031991504
Gene_9575	Y	0.216200445	2.793835693	3.368906218	-1.367220349	-2.469853375	2.740067144	3.195782374	-4.581003032	4.952484481	-4.911508443	2.215205594	4.13262954	4.775094252	1.303598984	-1.67698531
Gene_11401	Y	3.17583735	3.232549203	-0.620022082	0.026642284	-1.773494498	-2.967126008	4.077788859	-1.328512966	3.065621082	-3.603211824	4.919039546	4.542153624	-0.229252944	-4.109859574	-4.24050052
Gene_12148	Y	3.029012057	4.38931828	2.44679435	1.091042973	-2.318135936	0.502789425	4.765853785	1.42253728	0.71501912	-1.502662497	-3.90371527	1.868042329	4.931156011	-2.297759053	-1.904238252
Gene_13537	Y	2.838607191	3.53086389	-1.44754795	0.18149996	-2.870770742	-2.777832104	3.557382803	-2.704189426	-4.757437314	-1.541154991	1.900660778	1.930195329	-0.650143174	-3.188275402	-2.64017101
Gene_16923	Y	1.144578553	2.527481402	1.420510891	0.469174387	-3.735408295	-4.065284506	3.143870788	-0.061759277	1.64989456	-3.603287369	-1.307366784	2.727486592	-4.790497964	2.569724049	-4.431070806
Gene_17055	Y	1.23822572	4.547807638	1.329660945	-3.398071728	-2.288580337	3.814011755	1.787724776	0.035366099	-3.298379606	-1.87983138	2.039865834	4.659170112	-0.179343562	-4.465421798	-1.909096309
Gene_19107	Y	2.336277638	1.998322475	2.639480389	2.263038236	-2.41350625	-1.536759585	1.921642822	-3.103224822	4.424648483	-2.088812248	-0.459437633	2.899156855	-0.345506335	-3.39671041	-2.670212143
Gene_19898	Y	4.639554168	2.604724254	0.978165677	0.224824575	-4.337227865	-2.839506843	2.589094068	-1.466086552	-1.336953372	-3.959464119	-1.905845417	2.82297895	1.452372395	-4.879528993	-2.402658833
Gene_21239	Y	3.269365047	4.445007801	3.553160181	2.466575914	-3.399994477	-3.606212812	4.057195896	3.659801507	1.146392989	-3.445848454	1.086834813	4.9613864	-4.615678296	4.031456752	-3.170727624
Gene_21333	Y	2.933101575	4.013110148	4.520046109	-3.8477766	-3.951603106	1.437459231	3.495107177	2.182707645	3.542878944	-4.406997048	-1.024016184	2.644471067	-2.470323697	-4.629123097	-2.507806536
Gene_21344	Y	1.575296969	2.4184348	3.59100711	1.106250147	-4.395800599	-3.336208468	3.150839931	-3.973311927	-0.488711603	-3.019012172	-0.757984671	1.738218277	0.177426363	-2.389904211	-3.408958127
Gene_21680	Y	0.969635004	4.700389353	-1.377546087	4.891390088	-4.406540731	-2.085444698	2.444218961	1.806143506	4.890240514	-2.413545007	-4.598296909	4.692444274	2.92635821	0.069162896	-2.047221876
Gene_25538	Y	1.226949466	3.676453706	3.077702472	0.047641596	-3.005759682	1.609422679	2.743335156	2.097128811	2.4557893	-2.878749282	4.302995115	3.201132489	-1.707035583	-0.365260866	-3.326159731
Gene_27734	Y	3.909413753	4.007901106	2.740837973	-4.303975921	-3.451835977	-4.190754762	2.384428458	-1.29944387	-0.320272863	-4.202140958	0.557855027	1.524482186	-0.321289004	0.35250509	-4.92914109
Gene_28823	Y	3.439196945	3.165750486	2.968229915	1.450308929	-2.634426705	3.788963198	4.039605176	-3.685169426	1.844227635	-2.288666086	-0.540316479	4.001178262	-4.5782804	-4.768554875	-3.49206288
Gene_29723	Y	0.411060895	2.610703589	1.594154133	-3.54859385	-4.267228123	4.642788966	1.811224649	-3.341794817	4.578302091	-3.789465439	-1.345425018	2.73000107	-1.457553211	4.125419775	-2.825720077
Gene_31440	Y	0.921587474	4.018957084	-3.473236593	1.030433476	-2.653936558	1.849646671	2.778441773	3.305011487	1.096997943	-4.63346027	-3.069107755	4.872984096	1.335039628	-0.159748271	-4.702900432
Gene_32388	Y	3.392925665	2.819272425	-4.213478258	-3.759639334	-4.757976703	4.976235063	1.563868496	1.634232878	2.310430974	-2.07930583	1.774418655	1.560735329	3.457498819	-2.556437855	-2.725101307
Gene_36534	Y	2.507019148	3.031829406	-2.027517929	-1.322550865	-2.233440615	2.005990466	2.820364283	-3.958415795	-0.403144266	-4.227198132	1.487792433	1.831134762	-0.111982817	-3.556307295	-2.315035429
Gene_36808	Y	4.780080851	4.969877115	-1.022555946	-3.018605356	-2.349163502	-2.025385166	4.824466932	-3.045120022	-2.328735529	-4.8952979	-1.229170978	4.282503005	-0.892782154	3.974375396	-3.033265049
Gene_38039	Y	3.073072398	4.156519634	-2.52490121	-2.172842485	-4.673082895	-2.622717729	3.496981752	3.301588097	3.139695103	-4.753063716	-4.971644088	2.203312239	4.399491894	-3.796355425	-1.53568586
Gene_38709	Y	4.865697668	3.203751489	-3.464920039	4.768889286	-1.671044083	1.662674562	3.406658425	-3.891619978	1.734355583	-2.432391089	-3.229838032	4.017947114	-2.832398093	-2.794412249	-3.369808555
